epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.154,3.14298,4.30551,1.36775,0.1596,0.39463,0.11765,0.03863,2.4383,inf,1.10115,0.000331019,0.000331019,0.000331019
2,282.218,2.49116,2.03052,1.08223,0.73376,0.55842,0.61417,0.22685,2.16779,1.56975,1.02707,0.000631466,0.000631466,0.000631466
3,445.142,2.40316,1.83601,1.06413,0.7236,0.5809,0.64521,0.25144,2.16732,1.48505,1.03706,0.000898914,0.000898914,0.000898914
4,640.578,2.30257,1.73407,1.03394,0.62028,0.49354,0.50633,0.15758,2.50899,1.84896,1.08415,0.0008515,0.0008515,0.0008515
5,749.815,2.20569,1.54657,1.01716,0.70514,0.42344,0.48203,0.17799,2.59446,1.70249,1.08172,0.000802,0.000802,0.000802
6,831.296,2.17311,1.45042,1.00376,0.83921,0.74778,0.80057,0.32888,1.99676,1.17646,0.98204,0.0007525,0.0007525,0.0007525
7,905.761,2.09991,1.34943,0.99128,0.86788,0.78536,0.82625,0.32771,2.03898,1.12438,0.98597,0.000703,0.000703,0.000703
8,981.717,2.06394,1.27388,0.98322,0.86439,0.77789,0.84529,0.37191,1.91136,1.07659,0.96319,0.0006535,0.0006535,0.0006535
9,1058.09,2.03483,1.21789,0.97748,0.92673,0.82849,0.89285,0.39418,1.89832,0.96229,0.96072,0.000604,0.000604,0.000604
10,1131.47,1.96213,1.14155,0.9584,0.90476,0.83845,0.90531,0.41389,1.84804,0.93366,0.95047,0.0005545,0.0005545,0.0005545
11,1227.8,1.87245,1.06438,0.96653,0.84903,0.79202,0.84766,0.35646,1.97732,1.04549,0.97595,0.000505,0.000505,0.000505
12,1289.67,1.85759,1.01912,0.96064,0.87307,0.85654,0.89654,0.3972,1.85493,0.92184,0.95061,0.0004555,0.0004555,0.0004555
13,1360.66,1.84137,0.99528,0.96007,0.93765,0.88998,0.93178,0.4372,1.7627,0.87538,0.92963,0.000406,0.000406,0.000406
14,1422.4,1.79557,0.94456,0.95339,0.89154,0.88663,0.9261,0.41289,1.8558,0.89941,0.94671,0.0003565,0.0003565,0.0003565
15,1481.61,1.76192,0.91264,0.95127,0.93424,0.92223,0.95253,0.44212,1.77967,0.80995,0.9332,0.000307,0.000307,0.000307
16,1539.62,1.73258,0.86676,0.93999,0.92055,0.93,0.95103,0.45481,1.7444,0.79484,0.92352,0.0002575,0.0002575,0.0002575
17,1597.2,1.68086,0.83716,0.93364,0.94905,0.9104,0.95515,0.46573,1.7124,0.78624,0.91956,0.000208,0.000208,0.000208
18,1656.67,1.68336,0.82019,0.92572,0.94633,0.93191,0.95843,0.47305,1.68438,0.75814,0.91302,0.0001585,0.0001585,0.0001585
19,1715.1,1.62817,0.78167,0.92135,0.95981,0.94171,0.96771,0.47637,1.67596,0.74133,0.91124,0.000109,0.000109,0.000109
20,1775.53,1.6162,0.75818,0.91326,0.96098,0.93983,0.97,0.48665,1.67048,0.7302,0.90986,5.95e-05,5.95e-05,5.95e-05
